ALGOR,CRIT_DIST,ORI_ERROR,time_step,time_horizon,Mean_avoided_collisions,Mean_navigation_time,Mean_CA_time,Mean_distance_travelled,Minimum_avoided_collisions,Minimum_navigation_time,Minimum_CA_time,Minimum_distance_travelled,Maximum_avoided_collisions,Maximum_navigation_time,Maximum_CA_time,Maximum_distance_travelled
2,7.0,0.8,0.5,5.0,10.4,82.21,30.17,33.08,9,77.76,27.0,31.94,12,85.33,32.06,34.28
2,7.0,0.8,0.5,10.0,9.6,84.6,34.32,33.72,8,82.25,31.62,32.91,11,87.31,37.62,34.42
2,7.0,0.8,0.5,20.0,11.8,83.35,29.97,33.22,10,79.81,26.72,32.21,14,88.09,33.75,34.63
2,7.0,0.8,1.0,5.0,11.4,79.49,28.97,32.22,8,76.87,27.62,31.42,17,82.36,30.7,33.04
2,7.0,0.8,1.0,10.0,11.6,79.84,28.69,32.34,10,78.1,27.79,31.65,14,82.04,30.57,33.21
2,7.0,0.8,1.0,20.0,10.8,82.64,31.48,33.32,9,80.25,28.88,32.4,13,85.01,36.31,34.66
2,10.0,0.4,0.1,5.0,12.8,100.73,59.03,33.96,12,93.21,52.47,32.74,14,112.73,71.82,35.07
2,10.0,0.4,0.1,10.0,12.0,92.4,50.39,33.58,12,88.33,48.93,32.92,12,95.21,52.22,34.24
2,10.0,0.4,0.1,20.0,12.4,90.62,49.54,33.7,12,88.63,48.22,33.5,14,93.4,50.55,34.01
2,10.0,0.4,0.5,5.0,12.4,96.17,53.51,33.57,12,94.46,52.14,32.9,14,98.09,55.95,33.85
2,10.0,0.4,0.5,10.0,12.8,93.77,50.33,33.92,12,90.46,48.21,32.98,14,97.9,51.96,34.7
2,10.0,0.4,0.5,20.0,12.0,93.35,50.26,33.95,12,90.06,47.81,33.49,12,96.36,52.79,34.75
2,10.0,0.4,1.0,5.0,12.4,97.16,56.64,34.32,12,91.23,52.23,32.72,14,112.99,70.7,39.28
2,10.0,0.4,1.0,10.0,12.8,92.44,50.46,33.89,12,88.15,47.91,32.66,14,96.29,53.53,34.84
2,10.0,0.4,1.0,20.0,13.2,93.08,49.44,34.44,12,89.91,46.47,33.83,14,95.95,51.86,35.16
2,10.0,0.6,0.1,5.0,12.4,92.24,52.56,33.01,12,87.88,47.25,32.44,13,100.25,58.29,33.67
2,10.0,0.6,0.1,10.0,12.4,92.86,50.18,34.52,12,89.51,46.88,33.75,14,96.81,53.69,35.5
2,10.0,0.6,0.1,20.0,14.0,94.17,51.72,35.7,12,92.15,49.31,34.85,18,99.29,55.33,36.98
2,10.0,0.6,0.5,5.0,12.0,93.1,51.17,34.02,12,89.54,44.2,33.12,12,97.41,57.8,35.19
2,10.0,0.6,0.5,10.0,12.0,91.94,49.91,34.94,12,88.3,43.82,34.08,12,94.89,54.04,36.92
2,10.0,0.6,0.5,20.0,13.2,91.26,48.03,34.53,12,88.58,45.64,33.71,15,93.87,50.68,34.84
2,10.0,0.6,1.0,5.0,12.2,95.17,53.5,34.84,12,91.09,48.52,33.35,13,100.91,56.39,35.97
2,10.0,0.6,1.0,10.0,12.8,92.23,50.06,34.38,12,86.26,45.07,33.33,14,95.33,56.57,35.51
2,10.0,0.6,1.0,20.0,13.6,92.05,48.81,34.88,12,85.5,45.29,33.98,16,98.09,51.86,36.57
2,10.0,0.8,0.1,5.0,12.0,81.79,40.08,32.01,12,80.61,38.51,31.54,12,85.19,41.09,33.1
2,10.0,0.8,0.1,10.0,11.8,82.41,41.06,32.01,10,81.86,37.39,31.7,13,83.06,43.74,32.76
2,10.0,0.8,0.1,20.0,11.8,88.16,45.03,34.34,10,80.64,39.06,32.93,13,93.89,51.08,35.59
